Scopus-10-Analyze-Country

"Ваш запрос: (TITLE-ABS-KEY(deep learning, polymers))"


Количество результатов: 10

"СТРАНА",
"China","257"
"United States","195"
"India","77"
"United Kingdom","58"
"Germany","51"
"South Korea","49"
"Japan","33"
"Canada","27"
"Saudi Arabia","26"
"Italy","23"
"Spain","23"
"Taiwan","23"
"Singapore","21"
"Hong Kong","18"
"Belgium","16"
"Iran","16"
"Turkey","16"
"Australia","15"
"France","13"
"Netherlands","13"
"Pakistan","12"
"Poland","12"
"Brazil","11"
"Egypt","11"
"Greece","10"
"Malaysia","10"
"Russian Federation","7"
"Switzerland","7"
"Austria","6"
"Norway","6"
"Portugal","6"
"Sweden","6"
"Thailand","6"
"United Arab Emirates","6"
"Viet Nam","6"
"Bangladesh","5"
"Indonesia","5"
"Argentina","4"
"Iraq","4"
"Romania","4"
"Algeria","3"
"Finland","3"
"Ireland","3"
"Sri Lanka","3"
"Tunisia","3"
"Chile","2"
"Cyprus","2"
"Denmark","2"
"Hungary","2"
"Israel","2"
"Jordan","2"
"Oman","2"
"Slovakia","2"
"South Africa","2"
"Sudan","2"
"Angola","1"
"Belarus","1"
"Colombia","1"
"Croatia","1"
"Czech Republic","1"
"Ecuador","1"
"Estonia","1"
"Georgia","1"
"Kazakhstan","1"
"Lebanon","1"
"Macao","1"
"Mexico","1"
"Nepal","1"
"Nigeria","1"
"Qatar","1"
"Serbia","1"
"Slovenia","1"
"Syrian Arab Republic","1"
"Ukraine","1"
"Venezuela","1"
"Undefined","58"
